#,WORDS,MEANINGS,SYNONYMS,ANTONYMS
34,alacrity,brisk and cheerful readiness,enthusiasm| ardour| fervour| liveliness| zeal| haste| briskness| swiftness,slowness| reluctance| repugnance 
35,ambivalent,having mixed feelings or contradictory ideas,equivocal| doubtful| irresolute| fluctuating| confused| muddled| vague| hazy| iffy,unambivalent
36,ameliorate,make something bad better,amend| refine| mitigate| rectify| remedy| fix| square| tweak,worsen
37,amenable,"open to suggestions, easily persuaded, susceptible",compliant| acquiescent| biddable| manageable| tractable| pliant| malleable| complaisant| docile| tame| meek,disinclined| unamenable| unwilling
38,anachronistic,belonging to a period other than that being portrayed conspicuously old-fashioned,anachronous| antiquated| moldy| obsolete| rinky-dink| antique,fresh| new| contemporary| current| hot| mod
39,audacious,"willingness to take surprisingly bold risks, showing impudent lack of respect",intrepid| valiant| plucky| dynamic| spirited| mettlesome| spunky| venturous| temerarious,meek| mousy| retiring| shy| timid
40,avaricious,showing extreme greed for wealth or material gain,acquisitive| covetous| greedy| rapacious| mercenary| materialistic| mean| miserly| grabby,deny| contradict| contravene| disavow| disclaim| repudiate| 
41,banal,lacking in originality as to be obvious and boring,trite| hackneyed| platitudinous| vapid| commonplace| pedestrian| humdrum,fresh| new| novel| original| unclich??d| unhackneyed
42,benign,"gentle and kind, not harmful to the environment",clement| salubrious| propitious| auspicious| amiable| congenial| cordial| tender| benevolent| indulgent| benignant,adverse| bad| baleful| baneful| damaging| dangerous
43,brazen,bold and without shame,presumptuous| impudent| insolent| impertinent| pert| blatant| flagrant,meek| mousy| retiring| shy| timid
44,calumny,false and slanderous statement about someone,slander| muckraking| aspersions| vilification| traducement| obloquy| vituperation| revilement| scurrility| insults,vindication| clearance| eulogy| panegyric 
45,candid,truthful and straightforward,frank| outspoken| unvarnished,dissembling| uncandid| unforthcoming
46,castigate,reprimand severely,reprimand| rebuke| admonish| chastise| chide| upbraid| reproach| berate| lambaste| criticize| censure| punish| discipline| chasten| ,excuse| pardon| spare
47,caustic,"sarcastic in a bitter way, chemical",sarcastic| mordant| bitter| scathing| sardonic| scornful| trenchant| acerbic| vitriolic| pungent| acrimonious| polemic| virulent| waspish| ,pointless| mild| soothing| conciliating| vapid| flat| 
48,construe,interpret in a particular way,parse| render| elucidate,obscure
49,contrite,feeling or expressing remorse that one has done wrong,remorseful| repentant| penitent| apologetic| rueful| ashamed| chastened| compunctious,impenitent| remorseless| unapologetic| unrepentant
50,convoluted,extremely complex and difficult to follow and twisted,complicated| intricate| elaborate| impenetrable| tortuous| tangled| bewildering| baffling| perplexing,noncomplex| noncomplicated| plain| simple| uncomplicated
51,covet,yearn to possess something belonging to another,ache (for)| crave| desiderate| desire| die (for)| hanker (for or after),despise| dislike| undervalue| mislike 
52,craven,"lacking in courage, cowardly",cowardly| timid| timorous| fearful| quaking| cowering| weak| feeble| wimpish| wimpy| recreant,brave| courageous| daring| dauntless| doughty| fearless
53,decorum,behavior in keeping with good taste and propriety,propriety| decency| good taste| politeness| courtesy| breeding| deportment| modesty,impropriety| indecency| indecorum
54,deft,demonstrating skill and cleverness,adroit| dexterous| nimble| proficient| shrewd| astute| canny| artful,amateur| amateurish| artless| rude| unprofessional| unskillful
55,demur,raise objections or show reluctance,cavil| dissent| balk,approve| acquiesce| agree| assent| consent 
56,derivative,imitative of the work of another,imitative| trite| hackneyed| banal,basic| original
57,desiccate,cause to become completely dry,castrate| damp| dampen| deaden| dehydrate| devitalize,brace| energize| enliven| invigorate| quicken| stimulate
58,diatribe,a forceful and bitter verbal attack,tirade| harangue| reprimand| admonishment| vituperation| castigation,monologue| oration| soliloquy| apostrophe 
59,incredulous,unwilling or unable to believe something,dubious| cynical| sceptical| wary,credulous| gullible| trustful| trusting| uncritical| unquestioning
60,ingenuous,"innocent, naive or unsuspecting",candid| unsophisticated| artless| genuine,affected| artful| artificial| assuming| dishonest| dissembling
61,abate,"become less intense or widespread, remove or reduce law",alleviate| mitigate| mollify| assuage| palliate| appease| attenuate,accumulate| balloon| build| burgeon| enlarge| escalate
62,abjure,"solemnly renounce (a belief, cause or claim)",relinquish| abandon| gainsay| disclaim| repudiate| abnegate| eschew| forsake,adhere (to)
63,anomalous,deviating from what is standard,aberrant| peculiar| incongruous| deviant| divergent| eccentric,common| customary| normal| ordinary| typical| unexceptional
64,antipathy,a deep-seated feeling of aversion,animosity| aversion| animus| enmity| abhorrence| loathing| repugnance,amity
65,arcane,"understood by few, mysterious or secret",covert| clandestine| enigmatic| esoteric| abstruse| recondite| inscrutable| impenetrable| opaque,shallow| superficial
66,arduous,"involving or requiring strenuous effort, tiring",onerous| taxing| laborious| strenuous| vigorous| herculean| formidable| exhausting,cheap| easy| effortless| facile| light| mindless
67,artless,"without deception, effort or pretentiousness, natural",modest| ingenuous| guileless| candid,affected| artful| artificial| assuming| dishonest| dissembling
68,ascetic,"severe self-discipline, austere",austere| abstemious| frugal| rigorous| spartan| monkish| chaste,easy| easygoing| laid-back| undemanding| charitable| kind
69,assuage,"satisfy, make an unpleasant feeling less intense",alleviate| mitigate| palliate| abate| tranquillize| mollify| moderate| attenuate| diminish| quench,aggravate| exacerbate
70,betray,"gravely disloyal, unintentionally reveal, be evidence of",reveal| uncover| unmask| expose| discover,stand by
71,bucolic,relating to the pleasant aspects of the countryside,rustic| pastoral| countryside| agricultural| agrarian| outdoor| idyllic| arcadian,urban
72,burgeon,"begin to grow or increase rapidly, flourish",proliferate| escalate| flourish| thrive| prosper,contract| decrease| diminish| dwindle| lessen| recede
73,cacophonous,involving or producing harsh sounds,thunderous| raucous| dissonant| inharmonious| strident| grating| jarring| absonant,harmonious| harmonizing| melodious| musical
74,canonize,"treat of great significance, place in or regard as belonging to a canon of literacy or artistic wor",adore| adulate| deify| dote (on)| hero-worship| idolize,abase| degrade| demean| humble| humiliate
75,censure,"express severe disapproval, especially in formal statement",commination| condemnation| denunciation| excoriation| objurgation| rebuke,citation| commendation| endorsement
76,chicanery,use of deception or subterfuge,subterfuge| guile| skulduggery| hoodwinking| artfulness,openness| candor| fairness| cogency| demonstrativeness| soundness 
77,coalesce,come together to from one mass or whole,amalgamate| consolidate| synthesize,break up| dissever| part| section| separate| sever
78,cogent,"clear, logical and convincing",plausible| eloquent| credible| lucid| coherent| articulate,inconclusive| indecisive| ineffective| uncompelling| unconvincing| unpersuasive
79,compelling,evoking interest in a powerful irresistible way,enthralling| riveting| entrancing| hypnotic| absorbing,inconclusive| indecisive| ineffective| uncompelling| unconvincing| unpersuasive
80,contend,"struggle to surmount a difficulty, assert something as a position in an argument",profess| aver| avow,deny| gainsay
81,copious,abundant in supply,abundant| profuse| lavish| bountiful| abounding| manifold| galore| lank| bounteous| myriad,dribbling| trickling
82,cosmopolitan,mixture of cultures,suave| urbane| refined| sophisticated,guileless| ingenuous| innocent| naive| unsophisticated| untutored
83,deference,polite submission and respect,reverence| veneration| awe| submission| obeisance,defiance| disobedience| intractability| recalcitrance
84,desultory,"lacking plan, purpose or enthusiasm, occurring randomly",cursory| superficial| perfunctory| haphazard| random| automatic| capricious| mechanical| chaotic| sporadic| fitful,methodical| nonrandom| orderly| organized| regular| systematic
85,diffident,modest or shy because of a lack of self-confidence,bashful| meek| unassertive| timid| wary,extroverted| immodest| outgoing
86,dilatory,"slow to act, intended to cause delay",tardy| lax| indolent| loitering| lingering| dawdling,barreling| bolting| breakneck| breathless| brisk| careering
87,equivocate,use ambiguous language,prevaricate| hedge| vacillate| cavil| quibble| waffle,univocal| plain| direct| clear 
88,polarize,divide or cause it divide into two sharply contrasting group,center| centralize| compact| concenter| concentrate| consolidate,decentralize| deconcentrate| spread (out)
89,prodigal,spending money recklessly,extravagant| spendthrift| imprudent| profligate| wanton| generous| lavish| copious| profuse,conserving| economical| economizing| frugal| penny-pinching| scrimping
90,verbose,using or expressed in more words that are needed,circuitous| circumlocutory| diffuse| garrulous| logorrheic| long-winded,compact| concise| crisp| pithy| succinct| terse
91,abstain,restrain oneself from doing,desist| forbear| ren.ce| shun| eschew| abandon| abjure,choose| conclude| decide| determine| figure| name
92,approbation,approval or praise,adulation| veneration| accolades| plaudits| laudation,disapprobation| disapproval| disfavor
93,cherish,protect and care for lovingly,revere| admire| protect| nurture,abhor| abominate| despise| detest| execrate| hate
94,corroborate,"confirm or give support to a statement, theory or finding",endorse| validate| sustain| bolster| reinforce,disprove| rebut| refute
95,disparate,"essentially different in kind, notable to be compared, containing elements very different from one ",contrasting| heterogeneous| distinct| myriad,alike| identical| indistinguishable| kin| kindred| like
96,emulate,"match or surpass a person or achievement, typically by imitation",imitate| reproduce| mimic| equal| parallel| surpass,disaffect| shun| forego| abandon| despise| contemn| 
97,enervate,"make someone feel drained of energy, lacking in energy",exhaust| fatigue| weary| sap| enfeeble| poop| torpefy,brace| energize| enliven| invigorate| quicken| stimulate
98,ephemeral,lasting for a very short time,transitory| transient| cursory| evanescent| fugitive| fugacious,ceaseless| dateless| deathless| endless| enduring| eternal
99,fervid,"intensely enthusiastic or passionate, especially to an excessive degree",fervent| ardent| passionate| vehement| avid,cold| cool| dispassionate| emotionless| impassive| unemotional
100,garrulous,"excessively talkative, especially on trivial matters",loquacious| voluble| v.ose| jabbering| effusive| prolix,closemouthed| laconic| reserved| reticent| taciturn| tight-lipped
101,incendiary,tending to stir up conflict,agitator| firebrand| troublemaker| revolutionary| insurgent| subversive| instigator,extinction| quenching| annihilation 
102,inimical,"tending to obstruct, unfriendly hostile",antagonistic| unsympathetic| malevolent| detrimental| deleterious| pernicious| prejudicial| malefic,friendly| hospitable| nonantagonistic| nonhostile| sympathetic
103,intimate,"closely acquainted, familiar, detailed or thorough",cherished| constant| devoted| favourite,distant
104,invigorate,give strength or energy to,revitalize| revive| vivify| rejuvenate| galvanize,damp| dampen| deaden| dull| kill
105,mitigate,"make something bad less severe, serious or painful",alleviate| attenuate| assuage| appease| moderate| abate| pacify| placate| mollify| tranquillize,aggravate| exacerbate
106,obsolete,out of date,anachronistic| antique| archaic| defunct,fashionable| modern| current| customary| operative| extant 
107,opaque,"unclear, not transparent",perplexing| enigmatic| equivocal| cryptic| abstruse| recondite| arcane| esoteric,accessible| clear| nonambiguous| obvious| plain| unambiguous
108,paradigmatic,"serving as a typical example of something, of or denoting",archetypal| classic| definitive| exemplary| imitable| model,suppression| concealment| modesty| humility| simplicity| undemonstrativeness| 
109,pedantic,"excessively concerned with minor details, over-scrupulous",scrupulous| precisionist| punctilious| meticulous| fastidious| dogmatic| cerebral| didactic,anti-intellectual| lowbrow| nonintellectual| philistine| ignorant| illiterate
110,placid,"not easily upset or excited, calm and peaceful",equable| tranquil| imperturbable| serene,agitated| discomposed| disturbed| flustered| perturbed| unglued
111,polemical,of or involving strongly critical writing or speech,vitriolic| waspish| trenchant| acerbic| sardonic| scathing| pungent| acidulous,noncontroversial| safe| uncontroversial
112,precipitate,"cause to happen suddenly, unexpectedly or premature",impetuous| imprudent| temerarious| expedite| instigate,deliberate| unhurried| unrushed
113,profundity,great depth of insight or knowledge,sagacity| acuity| profoundness| perceptiveness| penetration| perception,shallow| superficial| commonplace 
114,prophetic,accurately predicting what will happen in future,prescient| predictive| prophetical| prognostic| divinatory| oracular,historic| narrative| chronicled| recorded| recitative| commemorative 
115,prudent,acting with or showing care and thought for future,sagacious| canny| circumspect| thrifty| sparing| frugal| abstemious,imprudent| indiscreet| injudicious
116,punctilious,showing great attention to detail or correct behavior,meticulous| scrupulous| painstaking| fastidious| finical| pedantic| laborious,casual| easygoing| informal| laid-back| unceremonious
117,recondite,"little known, abstruse",abstruse| arcane| esoteric| abstract| unfathomable,shallow| superficial
118,scrupulous,"careful, thorough, and extremely attentive to details",meticulous| painstaking| assiduous| sedulous| punctilious| religious| pedantic| virtuous,cutthroat| dishonest| dishonorable| immoral| unconscionable| unethical
119,tranquil,"free from disturbance, calm",reposeful| serene| placid| idyllic| stoical| pacific,boisterous| clamorous| clattery| deafening| loud| noisy
120,vacillate,"waver between different opinions or actions, be indecisive",dither| irresolute| tentative| dithering| ambivalent,dive (in)| plunge (in)
121,aloof,"not friendly, distant, detached",antisocial| asocial| buttoned-up| cold| cold-eyed| cool,cordial| friendly| sociable| social| warm
122,clangor,a continuously loud banging or ringing sound,babel| blare| bluster| bowwow| brawl| bruit,quiet| silence| silentness| still| stillness
123,conventional,following traditional forms and genres,current| customary| going| popular| prevailing| prevalent,nonstandard| unconventional| unpopular| unusual
124,debunk,expose the falseness or hollowness of an idea or belief,belie| confound| confute| disconfirm| discredit| disprove,confirm| establish| prove| validate| verify
125,diminutive,extremely or unusually small,bantam| dinky| dwarfish| fine| half-pint| Lilliputian,big| biggish| considerable| goodly| grand| great
126,discernible,"able to be discerned, perceptible, visible, noticeable",appreciable| apprehensible| detectable| distinguishable| palpable| perceptible,impalpable| imperceptible| inappreciable| indistinguishable| insensible| undetectable
127,enigmatic,"difficult to understand, mysterious",perplexing| bewildering| inscrutable| equivocal| paradoxical| oblique| arcane| abstruse| recondite| esoteric,accessible| clear| nonambiguous| obvious| plain| unambiguous
128,estranged,"no longer close to someone, alienated",alienated| antagonistic| hostile| unfriendly| chilly| cold,amicable| bonhomous| buddy-buddy| chummy| collegial| companionable
129,extravagant,"excessive, elaborate",spendthrift| profligate| prodigal| squandering| imprudent| exorbitant| inordinate| ostentatious,conserving| economical| economizing| frugal| penny-pinching| scrimping
130,fanciful,"over-imaginative, unrealistic, highly ornamental",whimsical| capricious| quixotic| chimerical| extravagant| eccentric| baroque,realistic| reasonable
131,frivolous,"carefree, not having any serious purpose",waggish| facetious| superficial| frothy| trivial| peripheral| zany| whimsical,big| consequential| eventful| important| major| material
132,heterogeneous,diverse in character or content,sundry| variegated| motley| myriad,homogeneous
133,imperious,arrogant and domineering,peremptory| authoritarian| lordly| officious,humble| lowly| modest| unarrogant| unpretentious
134,impertinent,"not showing proper respect, irrelevant",insolent| impudent| audacious| brazen| presumptuous| pert,meek| mousy| retiring| shy| timid
135,invasive,"tending to spread very quickly or undesirably, harmfully",N/A,N/A
136,irresolute,showing or feeling hesitancy; uncertain,tentative| vacillating| equivocating| dithering| fluctuating| ambivalent,decisive| determined| mettlesome| resolute| unrelenting| certain
137,laudable,deserving praise and commendation,praiseworthy| admirable| meritorious| sterling,censurable| discreditable| illaudable| reprehensible
138,lax,"not sufficiently strict or careful, negligible / of muscle(relaxed)",slipshod| heedless| slapdash| permissive| indulgent,attentive| careful| conscientious| nonnegligent
139,marginalize,"treat a person, group as insignificant or peripheral",N/A,terrestrial| terrene| laud| fresh-water 
140,panache,flamboyant confidence of style or manner,flamboyance| zest| vivacity| pizzazz,harden| starve| inure| stint| discipline 
141,plodding,slow moving and unexciting,wade| toil| trawl,indolent| lackadaisical| laggard| lazy| listless| shiftless
142,prosaic,"lacking originality, commonplace, unromantic",humdrum| mundane| insipid| vapid| banal| hackneyed| trite| unembellished| monotonous,abnormal| exceptional| extraordinary| odd| out-of-the-way| strange
143,remedial,intended as cure/ provided or intended for children with learning difficulties/ provided or intende,amendatory| corrective| rectifying| reformative| reformatory| remedying,noxious| hurtful| exaggerative| confirmative| morbific| deleterious| 
144,restive,"unable to remain still, silent, or submissive, especially because of boredom",restless| fidgety| apprehensive| nervy| jittery,amenable| biddable| compliant| conformable| docile| obedient
145,sporadic,"infrequent, scattered or isolated, occasional",fitful| desultory| erratic,constant| continuous| habitual| periodic| regular| repeated
146,stigmatize,great disapproval,condemn| disparage| vilify| pillory| defame,panegyrize| land| eulogize 
147,undermine,erode the base/ lessen the effectiveness,erode| subvert| sabotage| enfeeble| sap,cure| heal| help| rectify| rehabilitate| remedy
148,utterly,"completely or without qualification, absolutely",absolutely| radically| stark| bigly,half| halfway| incompletely| part| partially| partly
149,weary,tired(extreme),sapped| prostrate| enervated| jaded| knackered| pooped,unwearied
150,zealous,"showing zeal, fervent, passionate, fervid, ardent",fervent| ardent| fervid| zestful| perfervid,detached| dry| impersonal| objective| reserved| undemonstrative
151,admonish,warn or reprimand someone firmly,chide| rebuke| reprimand| reproach| reprove| tick off,essential| necessary| veritable| regular| ingenerate| ingrained| 
152,aesthetic,concerned with beauty,attractive| beauteous| beautiful| bonny| comely| cute,grotesque| hideous| homely| ill-favored| plain| ugly
153,affectation,"pretension, facade",affectedness| grandiosity| inflation| pretense| pretension| pretentiousness,genuineness| naturalness| un affectedness| simplicity| artlessness 
154,alleviate,make suffering less severe,diminish| assuage| palliate| quell| abate| pacify| placate| extenuate| mollify,aggravate| exacerbate
155,analogous,comparable in certain respects,parallel| kindred| cognate| homologous,different| dissimilar| diverse| unakin| unlike
156,bolster,support or strength,reinforce| fortify| buttress| revitalize| invigorate,depress| dispirit| relax 
157,chauvinistic,"displaying aggressive patriotism, displaying excessive support for their own cause, group or sex",chauvinist| jingoist| jingoistic| nationalist| nationalistic| superpatriotic,reason| sense| argument| reticence| philosophy| conversation 
158,connoisseur,an expert judge in matters of taste,pundit| savant| aesthete| epicure| gastronome| maven,amateur| inexpert| nonexpert
159,dissemble,conceal or disguise one's true feelings or beliefs,dissimulate| feign| masquerade| counterfeit| pose| posture| shroud,exhibit| manifest| protrude| vaunt| pretend| simulate| 
160,dogged,showing tenacity and grim persistence,tenacious| pertinacious| obdurate| steadfast| staunch| laborious| indurate,acquiescent| agreeable| amenable| compliant| complying| flexible
161,dupe,"trick, a victim of deception",hoodwink| gull| ensnare| beguile| bamboozle| finagle| euchre| simpleton| stooge| patsy| sap| schlemiel,N/A
162,empirical,based on observation rather than theory,observed| factual| verifiable| pragmatic| heuristic,nonempirical| theoretical| unempirical
163,engender,cause or give rise to a feeling situation,incite| kindle| instigate| foment| beget| enkindle| effectuate,cease| end| stop
164,entitled,give someone a legal right,denominate| accredit| enfranchise| capacitate,disqualified
165,pertinacious,holding firmly to an opinion or a cause of action,tenacious| assiduous| dogged| indefatigable| insistent| implacable| mulish| obstinate| obdurate| intransigent| intractable| refractory| indurate,acquiescent| agreeable| amenable| compliant| complying| flexible
166,presumptuous,failing to observe limits of what is appropriate/ brazen,brazen| audacious| pert| impertinent| insolent| impudent| bumptious| impetuous,modest| unassuming
167,probity,"having strong moral principles, honesty and decency",rectitude| virtue| equity| ethics,badness| evil| evildoing| immorality| iniquity| sin
168,proliferate,"increase rapidly in number, multiply",snowball| burgeon| escalate,contract| decrease| diminish| dwindle| lessen| recede
169,specious,superficially plausible but actually wrong,misleading| deceptive| fallacious,aboveboard| forthright| nondeceptive| straightforward
170,spurious,"not being what it purports to be, false or fake",bogus| specious| factitious| feigned| contrived| fictitious| fallacious| meretricious| ersatz| phoney| adulterine,authentic| bona fide| genuine| real| unfaked
171,subjective,"influenced by personal feelings, tastes, opinions",intuitive| impressionistic| biased| prejudiced| bigoted| idiosyncratic| irrational,general| generic| popular| public| shared| universal
172,subvert,undermine the power and authority of system,oust| sabotage| undermine| debase| vitiate,elevate| ennoble| uplift
173,timorous,"lack of confidence, easily frightened",apprehensive| quaking| diffident| bashful| reticent| timid| demure| wimpish| recreant,adventuresome| adventurous| audacious| bold| daring| dashing
174,tortuous,full of twists and turns excessively complex,sinuous| undulating| circuitous| labyrinthine| anfractuous| flexuous| v.ose,straight| straightaway
175,tractable,"easy to control or influence, easy to deal with",malleable| compliant| tame| meek| gullible| obsequious| sycophantic,balky| contrary| contumacious| defiant| disobedient| froward
176,transient,lasting for a short time,transitory| ephemeral| evanescent| mutable| fugacious,ceaseless| dateless| deathless| endless| enduring| eternal
177,ubiquitous,"present, appearing or found everywhere, omnipresent",omnipresent| pervasive| prevalent| predominant| inescapable,extraordinary| infrequent| rare| seldom| uncommon| unfamiliar
178,underscore,emphasize,accentuate| bring out| emphasize| italicize| stress| underline,de-emphasize
179,venal,"bribery, corrupt",grafting| fraudulent| unscrupulous| mercenary| avaricious| rapacious| simoniac,incorruptible
180,venerate,"regard with great respect, reverence",revere| adulate| deify| exalt| extol| aggrandize| lionize| laud,N/A
181,appease,"pacify or placate, assuage or satisfy",assuage| conciliate| disarm| gentle| mollify| pacify,anger| enrage| incense| inflame| infuriate| ire
182,arbitrary,based on random choice/ unrestrained and autocratic in the use of authority,capricious| whimsical| erratic| haphazard| wanton,methodical| nonrandom| orderly| organized| regular| systematic
183,archaic,very old or old-fashioned,obsolete| anachronistic| defunct,dispute| claim| appeal| misdetermine| litigate| contend| 
184,clamorous,making loud and confused noise/expressing or characterized by vehement protects or demands,vociferous| raucous| rackety| tumultuous| importunate| insistent| vehement,hushed| noiseless| quiet| silent| soundless| stilled
185,dearth,a scarcity or lack of something,paucity| sparseness| scantiness| destitution| privation| exiguity,abundance| adequacy| amplitude| opulence| plenitude| plenty
186,explicable,"able to be accounted for or understood, explainable",accountable| intelligible| exponible,hopeless| inexplicable| insoluble| insolvable| unexplainable| unresolvable
187,hyperbole,exaggerated statements or claims not meant to be taken literally,exaggeration| embroidery| embellishment| puffery,meiosis| understatement
188,immutable,unable to be changed,rigid| entrenched| indelible| ineradicable| perpetual,alterable| changeable| elastic| flexible| mutable| variable
189,indefatigable,"persisting tireless, tireless, untiring",indomitable| persistent| tenacious| dogged| assiduous| industrious,indolent| indifferent| idle 
190,indolent,"lazy, idle/ (of medicine) no or little pain",apathetic| lethargic| languid| torpid| plodding| lax,industrious
191,insular,"uninterested in cultures, ideas, or peoples outside one?s own experience, lacking contact with othe",parochial| myopic| dogmatic| rigid| entrenched| prejudiced| bigoted| partisan| xenophobic,broad-minded| catholic| cosmopolitan| liberal| open| open-minded
192,intransigent,"unwilling to change one's views, uncompromising",obstinate| obdurate| inexorable| inveterate| adamant| tenacious| indurate,acquiescent| agreeable| amenable| compliant| complying| flexible
193,intrepid,"fearless, adventurous (often used for humorous effect)",dauntless| unabashed| audacious| mettlesome| valiant| stalwart,chicken| chickenhearted| chicken-livered| coward| cowardly| craven
194,irreverent,showing lack of respect for people or things that are generally taken seriously,disdainful| scornful| contemptuous| insolent| impudent| impertinent| presumptuous,pious| reverent
195,loathe,intense dislike or disgust for,abhor| abominate| execrate| abhorrence| antipathy| animosity| malice| enmity| aversion| repugnance,love
196,malign,"evil in nature, speak about someone in a spitefully critical manner",inimical| malevolent| malignant| injurious| spiteful| malicious| malefic| vilify| calimniate,benevolent| benign| benignant| loving| unmalicious
197,malleable,"easily influenced, pliable",pliable| tractable| docile| complaisant| plastic,established| fixed| immutable| inelastic| inflexible| invariable
198,neophyte,"a person who is new to a subject, activity, or religion",novice| initiate| fledgling| apprentice| probationer| tenderfoot,old hand| old-timer| vet| veteran
199,plastic,easily shaped/artificial/offering scope for creativity,malleable| moldable| shapable| waxy,artless| genuine| natural| spontaneous| unaffected| uncontrived
200,platitude,used too often to be interesting or thoughtful,clich‚| truism| commonplace| banality,sophism| laconism| enigma| dictum| oracle 
201,prescient,showing knowledge of events before they take place,prophetic| clairvoyant| prognostic| oracular| sibylline,half-baked| half-cocked| improvident| myopic| shortsighted
202,pristine,"spotless, clean and fresh, immaculate",immaculate| flawless| virgin| unsullied| undefiled,stale
